sev_obs,sev_exp,freq
0,0,758
0,1,48
0,2,4
0,3,1
1,0,423
1,1,65
2,0,187
2,1,47
2,2,7
3,0,89
3,1,41
3,2,3
4,0,44
4,1,20
4,2,4
4,3,1
5,0,27
5,1,18
5,2,5
5,3,1
6,0,11
6,1,13
6,2,3
6,3,4
7,0,8
7,1,9
7,2,3
8,0,4
8,1,6
8,2,1
8,3,1
9,0,5
9,1,2
9,2,2
9,3,2
10,0,1
10,1,1
10,2,3
10,3,1
10,4,1
11,0,1
11,2,2
12,0,2
12,5,1
13,0,2
13,1,1
13,2,1
14,2,2
14,3,1
15,2,1
16,0,1
17,4,1
30,2,1
